guid,title,pubDate,description,link,media
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',"b'Horoscope Today, 19 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sat, 19 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90168819.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',"b'Horoscope Today, 19 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sat, 19 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90168819.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',"b'Horoscope Today, 19 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sat, 19 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90168819.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',"b'Horoscope Today, 19 March 2022: Check astrological prediction for Aries, Taurus, Gemini, Cancer and other signs'","b'Sat, 19 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90168819.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-19-march-2022-check-astrological-prediction-for-aries-taurus-gemini-cancer-and-other-signs/articleshow/90168819.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',"b'Horoscope Today, 18 March 2022: Check astrological prediction for Virgo, Libra, Scorpio, Sagittarius and other signs'","b'Fri, 18 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90167934.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',"b'Horoscope Today, 18 March 2022: Check astrological prediction for Virgo, Libra, Scorpio, Sagittarius and other signs'","b'Fri, 18 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90167934.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',"b'Horoscope Today, 18 March 2022: Check astrological prediction for Virgo, Libra, Scorpio, Sagittarius and other signs'","b'Fri, 18 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90167934.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',"b'Horoscope Today, 18 March 2022: Check astrological prediction for Virgo, Libra, Scorpio, Sagittarius and other signs'","b'Fri, 18 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90167934.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',
b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',"b'Horoscope Today, 18 March 2022: Check astrological prediction for Virgo, Libra, Scorpio, Sagittarius and other signs'","b'Fri, 18 Mar 2022 05:01:00 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90167934.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-18-march-2022-check-astrological-prediction-for-virgo-libra-scorpio-sagittarius-and-other-signs/articleshow/90167934.cms',
b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',b'Pisces Relationship with Family',"b'Thu, 17 Mar 2022 18:09:03 IST'","b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/90293666.cms"" />'",b'https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/pisces/pisces-relationship-with-family/articleshow/90293666.cms',
